name,review-count,cuisines,cost for 2,timings,rating
Punjabi Tadka,7 reviews,North Indian,₹400,9 AM to 9:30 PM,3.1
Yogurberry,6 reviews,Desserts,₹200,11 AM to 11 PM,2.8
The Crunch Box,5 reviews,Fast Food,₹300,11 AM to 11 PM,2.8
Food Express,6 reviews,"North Indian, Chinese",₹800,"11 AM to 3:30 PM, 7 PM to 11:30 PM",3.2
Epsha Chicken Corner,6 reviews,North Indian,"₹1,000",9 AM to 10 PM (Mon-Sun),2.8
Madras Cafe,12 reviews,South Indian,₹450,1 PM to 11 PM (Mon-Sun),3.2
Verma's Bakery,6 reviews,"Fast Food, Bakery",₹150,11 AM to 10 PM,2.8
Moments Bar and Lounge,8 reviews,"North Indian, Chinese, Continental",₹500,11 AM to 11 PM,2.9
The First Floor,10 reviews,"North Indian, Chinese",₹200,8 AM to 11 PM,-
Relish,10 reviews,"North Indian, Chinese, South Indian",₹300,11 AM to 11:30 PM,3.2
Hasty Tasty Pasta & Noodles Point,9 reviews,Fast Food,₹500,12 Noon to 10 PM,2.8
Sethi's Kabab & Curries,7 reviews,North Indian,₹400,10 AM to 7 PM,3.0
Shiv Shakti Restaurant,10 reviews,"South Indian, Chinese",₹300,11 AM to 12 Midnight,3.3
Madras Coffee House - Kingdom of Dreams,6 reviews,Cafe,₹150,4 PM to 10 PM,2.9
Rara Dragon,9 reviews,Chinese,₹250,"11 AM to 4 PM, 6 PM to 11 PM",3.0
Veggie Point,8 reviews,North Indian,₹250,11 AM to 10:30 PM,2.5
Foodwale,7 reviews,Fast Food,₹400,11 AM to 2 AM,3.3
Manish Pizza Corner,11 reviews,Fast Food,₹150,9 AM to 11 PM,2.7
The Foodie Cafe,11 reviews,"Chinese, Fast Food",₹300,11 AM to 11 PM,2.9
The Foodie Cafe,11 reviews,"Chinese, Fast Food",₹300,7 AM to 11 PM,3.3
The Secret Ingredient,9 reviews,"Bakery, Desserts",₹300,10 AM to 10:30 PM,3.0
Kunal Dhaba,5 reviews,North Indian,₹300,11 AM to 11 PM,3.1
Rolls Tiger,9 reviews,Fast Food,₹250,11 AM to 12 Midnight,3.1
Foodaucity - Bum Bum Bholey Ke Chole Bhature,8 reviews,Street Food,₹500,"9 AM to 6 PM (Mon-Sat), Sun Closed",3.1
