name,review-count,cuisines,cost for 2,timings,rating
Lloyd's Tea House,437 reviews,"Cafe, Italian, European, Asian","₹1,200","12 Noon to 11 PM (Mon-Thu),11 AM to 11 PM (Fri-Sun)",4.1
Spoonbill,583 reviews,"Chinese, Italian, Mexican, Portuguese, Spanish, Street Food, German, Cafe",₹800,"11 AM to 11 PM (Mon-Sat), 9 AM to 11 PM (Sun)",3.9
Orange Wok,239 reviews,"Chinese, Thai",₹650,"12 Noon to 3:30 PM, 7 PM to 11 PM",4.1
Crisp Cafe,387 reviews,"Cafe, Continental, Desserts","₹1,200",10 AM to 10 PM,4.0
Zaitoon,239 reviews,"Arabian, Biryani, Mughlai, Chinese, North Indian",₹800,12 Noon to 12 Midnight,3.8
Krishnavillasam - The Home Of Classics,456 reviews,"South Indian, North Indian, Chinese",₹850,"Mon-Fri (11:30 AM to 11:30 PM), Sat-Sun (7:45 AM to 11:30 PM)",3.7
Zaitoon,281 reviews,"Arabian, Biryani, Mughlai, Chinese, North Indian",₹800,12 Noon to 12 Midnight,3.7
East Coast at Madras Square,163 reviews,"European, Continental, Italian",₹800,11 AM to 11 PM,4.2
Savoury Sea Shell,146 reviews,"Arabian, Chinese, Kerala, North Indian, Seafood, Biryani",₹800,11:30 AM to 11:30 PM,3.8
BR Mathsya,350 reviews,"South Indian, North Indian, Chinese, Continental",₹700,7 AM to 12 Midnight,3.6
Rain Forest,411 reviews,"North Indian, Chinese, Continental",₹700,"12 Noon to 3 PM, 7 PM to 11 PM",3.8
Little Italy,378 reviews,"Italian, Mexican","₹1,300","11:30 AM to 3 PM, 6:30 PM to 11 PM",4.3
Sandy's Chocolate Laboratory,617 reviews,"Desserts, Continental, Italian, Cafe","₹1,400",8 AM to 11 PM,4.2
White Pepper,139 reviews,"Arabian, North Indian, Chinese",₹600,11 AM to 2 AM,2.5
Ashvita Bistro,184 reviews,"Cafe, Italian, Thai","₹1,000",10 AM to 10 PM,3.7
Palmshore,98 reviews,"North Indian, Chinese, Arabian, Seafood, Biryani, Mughlai, South Indian",₹850,11:30 AM to 11:30 PM,3.6
Eden,254 reviews,"North Indian, Continental, Italian",₹750,"12:30 PM to 3 PM, 7 PM to 11 PM",3.9
Orange Wok,239 reviews,"Chinese, Thai",₹650,"12 Noon to 3:30 PM, 7 PM to 11 PM",4.1
Savoury Sea Shell,326 reviews,"Arabian, Chinese, North Indian, Biryani, Kerala",₹800,11:30 AM to 11:30 PM,3.6
Tovo,673 reviews,"Burger, American","₹1,300","12:30 PM to 11 PM (Mon-Thu), 12:30 PM to 11:30 PM (Fri-Sun)",4.3
KFC,69 reviews,"American, Fast Food",₹450,11 AM to 11 PM,2.6
Mamagoto,268 reviews,"Asian, Thai","₹1,500",12 Noon to 11 PM,4.4
Amadora Gourmet Ice Cream & Sorbet,455 reviews,"Ice Cream, Desserts",₹500,11:30 AM to 11:30 PM,4.6
Buhari,311 reviews,"North Indian, Chinese, Biryani",₹850,11 AM to 11 PM,2.7
Hola,433 reviews,"Continental, Italian, Mexican, Salad, Healthy Food","₹1,200",11 AM to 11 PM,3.9
Nando's,732 reviews,"Portuguese, African","₹1,200",11:30 AM to 11:30 PM,4.2
Ratna Cafe,207 reviews,South Indian,₹300,07:30 AM to 10:30 PM,4.1
Nawaab Sheikh Palace,205 reviews,"Biryani, North Indian, Chinese",₹600,11 AM to 11 PM,3.7
The Chinese Story,131 reviews,Chinese,"₹1,000","11 AM to 4 PM, 7 PM to 11 PM",4.0
Firdouse,113 reviews,"North Indian, Mughlai, Chinese, South Indian",₹600,11 AM to 11 PM (Mon-Sun),3.5
MASH,448 reviews,"Fast Food, Continental, Italian",₹800,"11 AM to 11 PM (Mon-Fri), 7 AM to 11 PM (Sat-Sun)",3.7
Moonrakers,411 reviews,"Seafood, North Indian, Chinese, Continental, Italian",₹700,11 AM to 11 PM,3.5
Shiraz Art Cafe,230 reviews,"Iranian, Continental, Parsi, Biryani","₹1,100","4 PM to 11 PM (Tue-Fri), 12 Noon to 11 PM (Sat-Sun), Mon Closed",4.2
Sree Akshayam,274 reviews,"South Indian, North Indian, Chinese",₹550,7 AM to 11 PM,3.9
Murugan Idli Shop,441 reviews,South Indian,₹200,7 AM to 11 PM,4.0
Rajdhani Thali Restaurant,450 reviews,"Rajasthani, Gujarati",₹900,"12 Noon to 3 PM, 7 PM to 11 PM",3.9
Courtallam Border Rahmath Kadai,222 reviews,South Indian,₹400,"11:30 AM to 4:30 PM, 7 PM to 11:30 PM",3.9
Novelty Tea House,304 reviews,"North Indian, South Indian, Street Food, Continental, Fast Food",₹750,"12 Noon to 3:30 PM, 7 PM to 10:30 PM",3.9
Haunted,139 reviews,"North Indian, Chinese, Arabian",₹800,"12 P.M. to 3:30 P.M., 6:30 P.M. to 2 A.M.",3.5
Papa John's Pizza,133 reviews,Pizza,₹750,11 AM to 11 PM,2.5
Urban Desi House,100 reviews,Cafe,₹300,"3 PM to 11 PM (Mon), 9:30 AM to 11 PM (Tue-Sun)",3.8
Barbeque Nation,1304 reviews,"North Indian, Continental","₹2,000","12 Noon to 3 PM, 6:30 PM to 10:30 PM",4.2
Cream Centre,362 reviews,"North Indian, Italian, Mexican","₹1,600","11 AM to 3 PM, 7 PM to 11 PM",4.1
Double Roti,156 reviews,"Cafe, American, Fast Food","₹1,000",12:30 PM to 11 PM,4.1
Cream Centre,362 reviews,"North Indian, Italian, Mexican","₹1,600","11 AM to 3 PM, 7 PM to 11 PM",4.1
Double Roti,156 reviews,"Cafe, American, Fast Food","₹1,000",12:30 PM to 11 PM,4.1
10 Downing Street,664 reviews,"Finger Food, North Indian, Chinese, Continental","₹1,000","12 Noon to 6:30 PM, 7 PM to 12 Midnight",4.0
Subway,63 reviews,"Fast Food, Salad, Healthy Food",₹550,11 AM to 11 PM,3.8
La Cucina,161 reviews,"Italian, Continental",₹700,11 AM to 11 PM,4.0
Lloyd's Tea House,243 reviews,"Cafe, Italian, European, Asian","₹1,200","12 Noon to 11 PM (Mon-Thu),11 AM to 11 PM (Fri-Sun)",4.0
Haagen Dazs,259 reviews,"Ice Cream, Desserts","₹1,000",11 AM to 12 Midnight,4.4
The Table,135 reviews,"Bakery, Desserts",₹500,9:30 AM to 10 PM,4.0
Dario's,431 reviews,"Cafe, Italian, Salad, Healthy Food","₹1,200",12 Noon to 11:30 PM,4.1
Sera - The Tapas Bar & Restaurant,217 reviews,"Italian, Seafood, Finger Food","₹1,600","1 PM to 12 Midnight (Mon), 12:30 PM to 12 Midnight (Tue-Sun)",4.3
Cream Centre,452 reviews,"North Indian, Italian, Mexican","₹1,600","11 AM to 3 PM, 6 PM to 11 PM",4.1
Hotel Junior Kuppanna,332 reviews,"South Indian, Biryani",₹650,"11:30 AM to 4 PM, 6:30 PM to 11 PM",3.9
Pantry D'Or Cordon Bleu,81 reviews,"Continental, American, Cafe, Desserts, Italian, Pizza, Bakery, Lebanese",₹750,"10 A.M. to 11 P.M. (Mon-Thu), 8:30 A.M. to 11 P.M. (Fri-Sun)",4.0
Delhi Highway,277 reviews,"North Indian, Street Food","₹1,200","12 Noon to 3:30 PM, 7 PM to 10:30 PM (Mon-Thu), 12 Noon to 3:30 PM, 7 PM to 11 PM (Fri-Sun)",4.0
Bombaysthan,131 reviews,"Desserts, Fast Food",₹400,10:30 AM to 12 Midnight,3.9
Kailash Kitchen,324 reviews,Tibetan,₹250,"12:30 PM to 7:30 PM (Tue-Sun), Monday Closed",4.4
AKI BAY,128 reviews,"Japanese, Pan Asian, Asian",₹800,12 Noon to 11 PM (Mon-Sun),4.4
Benjarong,236 reviews,Thai,"₹2,000","12 Noon to 3 PM, 7 PM to 11 PM",4.3
Haven Sampoorna,263 reviews,"North Indian, Chinese, Continental",₹850,"12 Noon to 3:30 PM, 7 PM to 10:30 PM",3.7
Savoury Sea Shell,181 reviews,"Arabian, Chinese, North Indian, Biryani, Kerala",₹800,11:30 AM to 11:30 PM,3.4
Copper Chimney,279 reviews,"North Indian, Mughlai","₹1,200","12 Noon to 3 PM, 7 PM to 10:45 PM",3.8
Tuscana Pizzeria,450 reviews,"Italian, Pizza","₹1,600",12 Noon to 11:30 PM (Mon-Sun),3.8
Waf O'Bel,258 reviews,"Desserts, Cafe, Bakery, Belgian, Continental, European, Ice Cream, Street Food",₹800,2 PM to 11 PM,4.5
Brownie Heaven,220 reviews,Desserts,₹350,11 AM to 11 PM,4.8
The Marina,299 reviews,"Seafood, North Indian, Chinese","₹1,200","12 Noon to 3 PM, 7 PM to 11 PM",4.5
Azzuri Bay,731 reviews,"Italian, Mediterranean, Chettinad, Thai, South Indian, Seafood","₹1,000","12 Noon to 3 PM, 7 PM to 11 PM",4.0
Nalaas Aappakadai,135 reviews,"Chettinad, South Indian, North Indian, Chinese",₹650,"11 AM to 3:30 PM, 6:30 PM to 11:30 PM",2.3
Cheesy Juicy Burgers,179 reviews,Fast Food,₹500,11:30 AM to 11 PM,4.2
Fatoosh,33 reviews,"North Indian, Arabian, Continental",₹750,11:30 AM to 11:30 PM,3.6
DiMoRa,552 reviews,"North Indian, Continental, Chinese, Italian, South Indian","₹1,200",12 Noon to 11 PM,3.4
Main Street - The Residency Towers,273 reviews,"European, Chinese, Japanese, North Indian, Thai","₹2,000",24 Hours,3.7
I Fake,178 reviews,"North Indian, South Indian, Chinese",₹500,11 AM to 11 PM (Mon-Sun),2.8
Kailash Parbat,233 reviews,"North Indian, Street Food, Chinese",₹800,"11 AM to 3:45 PM, 7 PM to 10:45 PM",4.0
Spaghetti Kitchen,324 reviews,Italian,"₹1,200","12 Noon to 3:30 PM, 7 PM to 11 PM",4.1
Brick House Bistro,47 reviews,"American, Burger",₹600,12 Noon to 1 AM,3.8
Oregano's,135 reviews,Italian,₹300,11 AM to 11 PM,3.9
Rajdhani Thali Restaurant,247 reviews,"Rajasthani, Gujarati",₹900,"12 Noon to 3:30 PM, 7 PM to 11 PM",3.8
Shyam's Bombay Halwa House,222 reviews,North Indian,₹600,"12 Noon to 3:30 PM, 7 PM to 11:30 PM",4.1
Chocoholick,324 reviews,"Bakery, Cafe, Continental, Fast Food, Desserts, Burger, Ice Cream, Finger Food",₹600,11 AM to 11 PM,3.7
Punjabi Nation,123 reviews,"North Indian, Chinese",₹700,"11:30 AM to 3:30 PM, 7 PM to 11:30 PM",3.7
Jakob's Kitchen,385 reviews,"South Indian, Chinese, Seafood, Chettinad",₹800,"12 Noon to 3:30 PM, 7 PM to 10:30 PM",3.7
