name,review-count,cuisines,cost for 2,timings,rating
Punjab Grill,1256 reviews,North Indian,"₹1,500","12 Noon to 11:30 PM (Mon, Tue, Wed, Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",4.1
Chili's,676 reviews,"American, Tex-Mex, Burger","₹1,500",12 Noon to 11:30 PM,3.9
SodaBottleOpenerWala,942 reviews,"Parsi, Iranian","₹1,300","12 Noon to 11 PM (Mon-Thu, Sun), 12 Noon to 12:30 AM (Fri-Sat)",4.5
Murphy's Brewhouse - The Paul Bangalore,550 reviews,"Continental, North Indian, Finger Food","₹1,400","11 AM to 11 PM (Mon-Thu, Sun), 11 AM to 1 AM (Fri-Sat)",4.0
Fenny's Lounge And Kitchen,1967 reviews,"Mediterranean, Pizza, Continental, Seafood","₹1,800",11:30 AM to 1 AM,4.4
The Open Box,491 reviews,"European, North Indian, Mediterranean, Asian","₹1,400","12 Noon to 11 PM (Mon, Tue, Wed, Thu, Sun), 12 Midnight to 12:30 AM, 12 Noon to 12 Midnight (Fri-Sat)",3.9
BonSouth,786 reviews,"Chettinad, Andhra, Kerala","₹1,500","12 Noon to 3:30 PM, 7 PM to 11 PM",4.1
Chinita Real Mexican Food,891 reviews,Mexican,₹900,"12:30 PM to 3:30 PM, 7:30 PM to 11 PM (Tue-Sun), Mon Closed",4.3
Buff Buffet Buff,677 reviews,"North Indian, Chinese, Continental, Thai","₹1,500","7 AM to 10 AM, 12 Noon to 3:30 PM, 7 PM to 11:30 PM (Mon-Thu), 7 AM to 10 AM, 12 Noon to 3:30 PM, 7 PM to 12 Midnight (Fri), 7 AM to 10 AM, 12 Noon to 4:30 PM, 7 PM to 12 Midnight (Sat), 7 AM to 10 AM, 11:30 AM to 4:30 PM, 7 PM to 11:30 PM (Sun)",4.1
Monkey Bar,829 reviews,"American, Asian, European, North Indian","₹2,200","12 Noon to 11 PM (Mon-Thu), 12 Noon to 1 AM (Fri-Sat), 9 AM to 11:30 PM (Sun)",4.1
Taco Bell,582 reviews,"Mexican, American, Fast Food",₹600,11 AM to 11 PM,3.5
